survey_time,identifier,pace,balance,instructor_answers,instructor_considerate,instructor_communicate,instructor_enthusiasm,sufficient_helpers,helpers_considerate,helpers_communicators,helpers_enthusiasm,atmosphere,time,new_material,use_research,use_time,recommend,worth_time,workshop,semester
2019-01-25,0pispr,Just right,Balanced (lecture/hands-on),Often,All of the time,Sometimes,All of the time,Yes,All of the time,Sometimes,All of the time,strongly agree,agree,All of it,disagree,In the next 30 days,agree,agree,Introduction to R,spring 2019
2019-01-25,NA,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,NA,NA,NA,NA,disagree,Most of it,strongly agree,NA,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-25,NA,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,All of the time,Often,All of the time,strongly agree,disagree,None of it,neither agree nor disagree,In the next 30 days,agree,neither agree nor disagree,Introduction to R,spring 2019
2019-01-25,2henin,Slightly slow,Slightly too much lecture,I never asked a question,All of the time,All of the time,All of the time,No,All of the time,Often,All of the time,strongly disagree,strongly agree,All of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-25,1jerou,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,About half of it,strongly agree,In the next 30 days,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-25,0arnor,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,disagree,All of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-25,3widaf,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,All of it,agree,In the next 30 days,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-26,NA,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,Some of it,disagree,Immediately,neither agree nor disagree,neither agree nor disagree,Introduction to R,spring 2019
2019-01-26,NA,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,Some of it,agree,In the next 6 months,agree,agree,Introduction to R,spring 2019
2019-01-27,1oscov,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,All of it,strongly agree,In the next 6 months,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-28,NA,Slightly slow,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,Yes,All of the time,Often,Often,strongly agree,neither agree nor disagree,All of it,agree,In the next 6 months,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-28,NA,Too fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,disagree,Some of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-28,0refer,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,About half of it,strongly agree,In the next 30 days,strongly agree,strongly agree,Introduction to R,spring 2019
2019-01-31,NA,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,About half of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-02-01,0mamec,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,Some of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-02-01,1woche,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,Often,strongly agree,strongly agree,Some of it,strongly agree,Immediately,strongly agree,strongly agree,Introduction to R,spring 2019
2019-02-01,2rubea,Just right,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,Yes,Often,Often,Often,agree,strongly agree,All of it,strongly agree,In the next 30 days,strongly agree,strongly agree,Introduction to R,spring 2019
2019-02-04,0alnel,Just right,Balanced (lecture/hands-on),Often,Often,Often,All of the time,Yes,Often,Often,Often,agree,neither agree nor disagree,About half of it,neither agree nor disagree,In the next 30 days,agree,agree,Introduction to R,spring 2019
2019-02-06,2chdre,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,Most of it,agree,Immediately,agree,agree,Introduction to R,spring 2019
2019-02-21,0ackag,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,Often,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,Some of it,disagree,I am not sure when,agree,agree,Intermediate R,spring 2019
2019-02-25,0zacou,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,Yes,Often,All of the time,All of the time,agree,neither agree nor disagree,Most of it,agree,I am not sure when,neither agree nor disagree,neither agree nor disagree,Intermediate R,spring 2019
2019-02-25,0refer,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,Most of it,strongly agree,In the next 30 days,strongly agree,strongly agree,Intermediate R,spring 2019
2019-02-25,3widaf,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,Often,All of the time,strongly agree,agree,All of it,agree,In the next 6 months,strongly agree,strongly agree,Intermediate R,spring 2019
2019-02-25,2rubea,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,About half of it,strongly agree,In the next 30 days,strongly agree,strongly agree,Intermediate R,spring 2019
2019-02-26,4rospo,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,Often,Often,strongly agree,strongly agree,All of it,agree,In the next 6 months,strongly agree,strongly agree,Intermediate R,spring 2019
2019-02-26,1spfla,Just right,Balanced (lecture/hands-on),Sometimes,All of the time,Sometimes,All of the time,Yes,All of the time,All of the time,Often,strongly agree,disagree,About half of it,agree,In the next 30 days,agree,agree,Intermediate R,spring 2019
2019-02-27,0llswe,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,Most of it,strongly agree,In the next 6 months,strongly agree,strongly agree,Intermediate R,spring 2019
2019-02-27,1bogla,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,Most of it,strongly agree,Immediately,strongly agree,strongly agree,Intermediate R,spring 2019
2019-03-14,2letum,Just right,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,Most of it,strongly agree,Immediately,agree,agree,Data Wrangling in R,spring 2019
2019-03-14,0legol,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,Most of it,strongly agree,In the next 6 months,strongly agree,strongly agree,Data Wrangling in R,spring 2019
2019-03-15,0szper,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,Most of it,agree,In the next 30 days,agree,strongly agree,Data Wrangling in R,spring 2019
2019-03-17,0llswe,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,Sometimes,All of the time,strongly agree,strongly agree,Most of it,strongly agree,Immediately,strongly agree,strongly agree,Data Wrangling in R,spring 2019
2019-03-26,2brsta,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,About half of it,strongly agree,Immediately,strongly agree,strongly agree,Data Wrangling in R,spring 2019
2019-04-04,1matwe,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,neither agree nor disagree,Most of it,strongly agree,Immediately,agree,agree,Data Visualization in R,spring 2019
2019-04-04,2rubea,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,All of it,strongly agree,In the next 6 months,strongly agree,strongly agree,Data Visualization in R,spring 2019
2019-04-08,0notwe,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,agree,Most of it,strongly agree,Immediately,strongly agree,strongly agree,Data Visualization in R,spring 2019
2019-04-08,0logla,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,Some of it,strongly agree,Immediately,strongly agree,strongly agree,Data Visualization in R,spring 2019
2019-04-09,0ropea,Just right,Balanced (lecture/hands-on),Often,Often,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,About half of it,neither agree nor disagree,I am not sure when,agree,agree,Data Visualization in R,spring 2019
2019-04-13,0llswe,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,strongly agree,strongly agree,Most of it,strongly agree,Immediately,strongly agree,strongly agree,Data Visualization in R,spring 2019
