Timestamp,ID,How did you perceive the pace of the workshop?,How was the balance of lecture to hands-on work?,The Instructor gave clear answers to your questions.,The Instructor was considerate.,The Instructor was a good communicator.,The Instructor was enthusiastic.,There were a sufficient number of helpers available to address any questions I might have.,The helpers were considerate.,The helpers were good communicators.,The helpers were enthusiastic.,The overall atmosphere of the workshop was welcoming.,The amount of information covered at the workshop was reasonable for allotted time.,How much of the information presented at this workshop was new to you?,I learned skills that I will be able to use in my research/work.,How soon do you anticipate using the skills you learn at the workshop?,I would recommend this workshop to a friend/colleague.,The workshop was worth my time.
2019-1-01,0pispr,Just right,Balanced (lecture/hands-on),Often,All of the time,Sometimes,All of the time,Yes,All of the time,Sometimes,All of the time,5,4,All of it,2,In the next 30 days,4,4
2019-1-01,NA,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,NA,NA,NA,NA,2,Most of it,5,NA,5,5
2019-1-01,NA,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,All of the time,Often,All of the time,5,2,None of it,3,In the next 30 days,4,3
2019-1-01,2henin,Slightly slow,Slightly too much lecture,I never asked a question,All of the time,All of the time,All of the time,No,All of the time,Often,All of the time,1,5,All of it,5,Immediately,5,5
2019-1-01,1jerou,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Yes,All of the time,All of the time,All of the time,5,3,About half of it,5,In the next 30 days,5,5
2019-1-01,0arnor,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,2,All of it,5,Immediately,5,5
2019-1-01,3widaf,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,4,All of it,4,In the next 30 days,5,5
2019-1-01,NA,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,3,Some of it,2,Immediately,3,3
2019-1-01,NA,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,3,Some of it,4,In the next 6 months,4,4
2019-1-01,1oscov,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,5,All of it,5,In the next 6 months,5,5
2019-1-01,NA,Slightly slow,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,Yes,All of the time,Often,Often,5,3,All of it,4,In the next 6 months,5,5
2019-1-01,NA,Too fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,2,Some of it,5,Immediately,5,5
2019-1-01,0refer,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,5,About half of it,5,In the next 30 days,5,5
2019-1-01,NA,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,5,About half of it,5,Immediately,5,5
2019-2-01,0mamec,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,5,Some of it,5,Immediately,5,5
2019-2-01,1woche,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,Often,5,5,Some of it,5,Immediately,5,5
2019-2-01,2rubea,Just right,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,Yes,Often,Often,Often,4,5,All of it,5,In the next 30 days,5,5
2019-2-01,0alnel,Just right,Balanced (lecture/hands-on),Often,Often,Often,All of the time,Yes,Often,Often,Often,4,3,About half of it,3,In the next 30 days,4,4
2019-2-01,2chdre,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Yes,All of the time,All of the time,All of the time,5,3,Most of it,4,Immediately,4,4
