Timestamp,ID,Please indicate your relevant departmental affiliation. Check all that apply.,Your current occupation at the university,How many computer science courses (undergrad or grad) have you taken?,What are your previous computer science experiences? List course names.,What programming languages do you have experience with? Check all that apply.,What are your previous statistics experiences? List course names.,"What other courses have you taken that require computer programming (e.g. R, GIS, SPSS, STATA, SAS, MatLab, Mathematica, MARK, etc.)? List course names.",What operating system is on the computer you are bringing to the workshop?,Have you participated in independent or collaborative research outside the classroom?,"If so, how much? Check all that apply.",Do you have experience collecting your own data? Check all that apply.,"If you have collected your own data, how did you choose to store it? Check all that apply.",What is your most important reason for attending this workshop? Check all that apply.,What resources have you used while learning to program in R? Check all that apply.,"In a few words, what do you hope to learn from this workshop?"
2018-9-01,NA,M.S. Fish and Wildlife Management (Fisheries),Master's,0,None,None,STAT511,Independent study S2018 used R,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance,NA,How R works
2018-10-01,NA,Plant breeding and genetics,Doctorate,0,NA,None,Biometry,PSPP 516,Windows,Yes,Little to No,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance;Department/Professor recommended,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,Have a stronger understand of how to use R for data analysis
2018-10-01,NA,Animal and Range Sciences,Master's,1,Stat511,None,Stat511,Stat511,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance;Preparation for graduate school,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,R packages with functions for statistical computation ease
2018-10-01,NA,LRES,Master's,0,NA,None,"high school stats, STATs 511",none,OSX,Yes,A few projects,"Yes, I've collected my own data",Other,Research assistance;Coursework assistance,Peers;Lab Mates;Adviser;Course Materials;Internet Resources;your intro class,to be able to better manipulate my own data and manipulate problem sets in STATs classes
2018-10-01,NA,Animal Science (MS 1998),Other,0,None,None,"STAT 401, 410, 412 (MSU), STAT 507 (Univ of ID), STAT 509 (Penn State)",Just stats courses and seminars that uses SAS,Windows,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Professional Development (I am not a student),Internet Resources,To become more comfortable with using R and eventually use it for statistical analysis
2018-10-01,NA,Plant Sciences,Doctorate,1,Fortran,Fortran,"six courses between BS, MS,and PhD",Environmental Biophysics and Environmental Data Managment,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Department/Professor recommended,Peers;Course Materials;Internet Resources,Managing data sets to facilitate analysis.
2018-10-01,NA,Conservation Biology,Bachelors,3,None,Python,"Stat 216, 217, currently taking Stat 411",Stat 217,Windows,Yes,Little to No,"Yes, I've collected my own data",Microsoft Excel,Coursework assistance;Preparation for graduate school,Peers;Lab Mates;Course Materials;Internet Resources,To improve my understanding of R and become more confident when using it
2018-10-01,NA,LRES,Doctorate,0,NA,Python;C or C++,Stat 511,Nome,OSX,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Adviser recommended,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,Get better at r
2018-10-01,NA,Postdoc,Staff,0,NA,Python,0,0,OSX,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Broaden R experience,Internet Resources,Better understanding of R
2018-10-01,NA,ecology,Master's,0,Na,None,Stat 511,WILD501,Windows,Yes,A few projects,"Yes, I've collected my own data",On paper,Research assistance;Coursework assistance;Adviser recommended,Peers;Course Materials;Internet Resources,"Additional skills and familiarity with r, particularly loops"
2018-10-01,NA,Earth Science,Master's,3,"Intro to GIS, Quantitative Methods in Ecosystem Science, Computer Statistical Applications",Other,"high school AP statistics, introduction to statistics, Methods for Data Analysis (STAT 511),  Computer Statistical Applications","Intro to GIS,  Quantitative Methods in Ecosystem Science, Computer Statistical Applications",Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance;Preparation for graduate school,Course Materials;Internet Resources,I hope to become more proficient in R in general
2018-10-01,NA,MS in Entomology,Master's,1,NA,None,Basic Statistics and STAT 511,Only 511,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,To help me with STAT511,Course Materials;Internet Resources,I already participated of the workshop for beginners and now I expect to learn more and maybe get more clear in my mind some R codes.
2018-10-01,NA,Interdiscplinary,Doctorate,0,A 200 level during undergrad a long time ago...,Java or Javascript,"STAT401, STAT511, STAT512, BIOL540",4,Windows,Yes,I'm almost done with my thesis,"Yes, I've collected my own data",Microsoft Excel,Learn and improve my R coding ability,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,As much as I can!
2018-10-01,0puvil,Animal and Range Science,Master's,0,NA,None,"STAT 511 and 512 Methods of Data Analysis
STAT 541 Experimental Design",WILD 502 Population and Habitat Data,Windows,Yes,Little to No,"Yes, I've collected my own data",Microsoft Access,Received an email or saw a flyer about the workshop.,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,"I am familiar with using R for a small number of things, typically what was required in a specific class, but I have never had a course specifically focused on learning R."
2018-10-01,0haten,Ecology & Environment Sciences,Doctorate,0,NA,Python;SQL,STAT 451,"WILD 595, STAT 457",Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Access,Adviser recommended,Internet Resources;Books,Some different approaches to solving problems in R.
2018-10-01,0kogra,Plant genetics,Doctorate,0,NA,None,Stat 216,Stat 511,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance,NA,Help with R
2018-10-01,0jomag,Land Rehabilitation,Master's,0,NA,None,STAT 216 and STAT217,LRES510,Apple/Mac OS/Unix,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance;Coursework assistance;Adviser recommended,Peers;Lab Mates;Adviser;Course Materials;Internet Resources,More R!
2018-10-01,2haams,Plant Science,Doctorate,2,"Intro Excel, Intermediate Excel",None,Intro to Statistics,none,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Coursework assistance;Department/Professor recommended;Received an email or saw a flyer about the workshop.,Course Materials;Internet Resources,How to better use R
2018-10-01,1coann,Civil Engineering,Master's,2,Visual Basic and Matlab,C or C++;R,Methods of Data Analysis,Finite Element Modeling and Geomorphology,Windows,Yes,A few projects,"Yes, I've helped others collect data",Microsoft Excel,Coursework assistance,Course Materials,Tips on how to become more capable using R and better understand code provided in my statistics class
