Timestamp,ID,Please indicate your relevant departmental affiliation. Check all that apply.,Your current occupation at the university,How many computer science courses (undergrad or grad) have you taken?,What are your previous computer science experiences? List course names.,What programming languages do you have experience with? Check all that apply.,What are your previous statistics experiences? List course names.,"What other courses have you taken that require computer programming (e.g. R, GIS, SPSS, STATA, SAS, MatLab, Mathematica, MARK, etc.)? List course names.",What operating system is on the computer you are bringing to the workshop?,Have you participated in independent or collaborative research outside the classroom?,"If so, how much? Check all that apply.",Do you have experience collecting your own data? Check all that apply.,"If you have collected your own data, how did you choose to store it? Check all that apply.",What is your most important reason for attending this workshop? Check all that apply.,What resources have you used while learning to program in R? Check all that apply.,"In a few words, what do you hope to learn from this workshop?"
2018-9-01,NA,Plant genetics,Doctorate,2,"Stat 511, excel course in community college",What is a programming language?,"Intro to statistics, currently taking Stat 511",None of these but I use R for research,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance,NA,How to use R more efficiently to analyze my data and become more comfortable with basic commands
2018-9-01,NA,LRES,Master's,0,none,What is a programming language?,Stats for Education,none,OSX,Yes,A few projects,"Yes, I've collected my own data",Text file,I know that I need to know R to be successful in research. Also I want to be able to analyze my data,NA,"I hope to come away with a better schema of what R is and the basic ways to load and interact with my data. I hope this gives me the basic skills to do more independent inquiries into R. Right now, when I have a question in R, I have very minimal terminology/background knowledge to use the tools available to even answer it. Thanks for offering this workshop!"
2018-9-01,NA,PSPP,Doctorate,1,Fortran,Fortran,LRES and PSPP research methods and experimental design.,Two LRES courses the required R,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance,NA,"Sorting data to facilitate analysis, i.e ""How do I select only data from 2017?"""
2018-9-01,NA,M.S. Environmental Engineering,Master's,0,NA,Other; R,EGEN 350 (Engineering Statistics),Intro to ArcGIS,OSX,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Coursework assistance,NA,Skills contributing to R fluency
2018-9-01,NA,Graduate Certificate in Applied Statistics,Master's,0,NA,What is a programming language?,"Experimental Design, Applied Linear Statistical Models, Analysis of Variance and Design of Experiments, Applied Multiple Regression",none,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Professional Development,NA,Become more comfortable with R and it's language; I'm use to SAS
2018-9-01,NA,Land Rehabilitation,Master's,0,NA,What is a programming language?,STAT 216 and 217,ArcGIS,OSX,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Coursework assistance,NA,The basics of R
2018-9-01,NA,Plant Genetics,Doctorate,0,NA,What is a programming language?,BIOB 318 Biometry,None,Windows,Yes,Little to No,"Yes, I've collected my own data",Microsoft Excel,Department/Professor recommended,NA,I hope to gain a better understanding of how to use R for research
2018-9-01,NA,Animal and Range Science,Master's,0,NA,What is a programming language?,"STAT 511, 512, 541",NA,Windows,Yes,Little to No,"Yes, I've collected my own data",Microsoft Access,Research assistance,NA,"I think I will get more out of the advanced workshop, which I am also registered for, but it has been so long since I had formal lessons in R that I think this will be a good refresher course prior to the advanced workshop."
2018-9-01,NA,Microbiology,Bachelors,0,NA,R,Stat216,None,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,Research assistance,NA,Become more familiar with R so I can better utilize it for data analyses
2018-9-01,NA,Plant Pathology,Doctorate,0,NA,What is a programming language?,Applied Regression Analysis,Stats,Windows,Yes,A few projects,"Yes, I've collected my own data",Microsoft Excel,My stats program is no longer supported...,NA,Basic Navigation for R....
